0,1,2
0.48,0.36,0.36
0.0,0.36,1.04
0.48,0.64,0.0
2.44,0.0,0.0
0.84,0.12,0.0
0.84,2.08,0.0
1.24,0.88,0.12
0.72,0.0,2.08
0.45818181818181813,0.24,0.36
1.4290909090909092,2.2,0.24
0.6,0.88,0.0
0.72,0.36,0.0
0.24,1.04,0.24
1.829090909090909,0.0,2.2
0.24,0.36,0.24
0.24,2.3200000000000003,0.0
2.08,0.84,0.12
0.22909090909090907,1.08,1.84
0.88,1.1600000000000001,0.0
0.45818181818181813,0.36,0.0
1.4290909090909092,0.36,0.12
0.24,1.56,0.24
0.12,0.24,2.2
2.08,0.24,1.04
0.22909090909090907,2.3200000000000003,0.0
1.28,0.48,0.0
0.22909090909090907,0.48,0.12
0.22909090909090907,0.0,1.84
0.88,0.24,0.0
0.48,2.08,0.12
0.0,0.12,1.96
0.0,1.84,0.6
0.36,0.0,1.28
2.56,0.0,0.48
1.24,0.12,0.12
1.12,1.84,1.96
0.6,0.0,1.0
0.72,0.0,0.48
0.0,0.12,0.48
0.0,2.08,1.1600000000000001
0.12,0.48,0.24
2.44,0.0,0.0
1.6400000000000001,0.12,0.24
0.96,1.84,2.08
0.8581818181818182,0.12,0.76
0.48,0.36,0.36
0.24,1.84,1.96
2.44,0.0,0.24
0.6,0.12,0.0
1.0,1.84,0.12
0.48,0.0,1.96
0.22909090909090907,0.12,0.48
0.64,1.84,1.6800000000000002
0.24,0.0,0.6
1.829090909090909,0.24,0.48
0.64,2.08,0.36
0.0,0.6,0.36
0.12,0.6,0.64
2.2,0.64,0.0
0.6,0.0,0.12
0.88,0.12,1.84
0.6290909090909091,1.96,0.12
0.24,0.76,1.4400000000000002
0.0,1.4,0.0
0.24,0.48,0.0
2.08,0.6,0.0
0.88,0.24,0.12
0.0,0.0,1.96
0.24,0.12,1.04
1.96,1.96,0.12
1.0290909090909093,0.76,1.84
0.24,0.36,0.12
0.0,0.24,0.88
0.0,0.0,0.6
0.24,0.24,0.64
2.2,2.08,0.0
0.48,0.48,0.0
1.52,0.0,0.12
1.0,0.0,2.2
0.48,0.12,0.6
0.48,2.08,1.0
0.24,1.56,0.24
2.08,0.24,0.12
0.6,0.0,1.96
1.24,0.12,0.24
0.72,2.08,0.0
0.84,0.48,0.0
1.4400000000000002,0.88,0.12
0.24,0.36,2.08
1.0,0.64,0.48
0.88,0.12,0.12
1.0290909090909093,1.4400000000000002,2.08
0.24,0.12,1.28
0.24,2.2,0.0
2.08,1.6800000000000002,0.12
0.6673684210526316,0.6,1.96
0.88,1.04,0.24
1.12,0.12,0.0
0.6,1.96,0.12
0.88,0.24,1.84
0.48,0.0,0.24
0.48,0.12,2.08
0.24,2.08,0.0
2.2,0.36,0.0
1.04,0.22909090909090907,0.24
0.0,0.24,2.2
0.24,0.0,1.4
1.96,0.36,0.48
0.24,2.2,0.88
0.12,0.24,0.6
2.08,0.0,2.04
0.36,0.0,0.96
1.1600000000000001,0.12,0.6
0.24,2.08,0.6
0.12,1.1600000000000001,1.4290909090909092
1.84,0.64,0.48
0.24,0.12,0.36
1.8000000000000003,1.04,0.12
1.6800000000000002,0.0,2.08
0.6,0.12,0.36
0.24,2.3200000000000003,0.24
0.0,0.96,0.0
0.12,0.24,0.12
1.84,2.2,1.84
0.24,0.48,0.12
1.96,0.48,0.24
0.24,0.48,1.8453731343283581
0.0,0.48,0.24
0.36,1.6581818181818184,0.0
2.2,0.48,0.24
0.64,0.0,2.2
0.0,0.36,0.88
0.12,2.3200000000000003,0.22909090909090907
1.84,1.0,1.4400000000000002
0.0,0.84,0.0
0.0,0.76,0.24
0.24,0.24,1.96
2.2,0.0,0.24
0.48,0.36,0.12
0.36,2.2,2.08
1.4400000000000002,0.72,0.24537313432835822
0.12,0.0,1.0
0.12,0.36,0.6
1.84,2.44,1.8000000000000003
0.0,1.12,0.48
0.0,0.72,0.48
0.24,0.6,0.12
2.2,1.0,1.84
0.24,0.84,0.12
0.0,1.52,1.6800000000000002
0.0,0.6,0.48
0.12,0.6,1.1600000000000001
1.96,1.1600000000000001,0.24
1.04,0.64,0.36
0.0,0.0,2.44
0.36,0.0,1.6400000000000001
2.08,0.12,1.08
1.1600000000000001,1.96,0.84
0.24,1.04,1.3599999999999999
0.24,0.0,0.72
1.96,0.0,0.72
0.36,0.12,1.4
0.64,2.08,0.48
0.0,0.48,1.28
0.0,0.36,0.12
0.0,2.3200000000000003,1.4290909090909092
0.12,0.48,0.24
1.84,0.12,0.36
0.0,1.96,2.08
0.12,1.4400000000000002,1.0
2.2,0.0,0.36
0.6,0.0,2.08
0.72,0.0,0.36
0.6,0.0,0.64
0.64,0.48,0.0
0.0,2.44,0.0
0.12,1.08,0.12
1.96,0.96,1.84
0.24,1.4,0.48
0.0,0.88,2.56
0.36,0.36,1.12
2.08,0.24,1.0290909090909093
0.48,0.0,0.36
1.1600000000000001,0.36,1.04
0.24,2.2,0.24
0.12,0.48,0.36
1.96,0.48,2.08
0.36,1.28,0.48
0.24,0.24,0.48
0.12,2.3200000000000003,0.0
1.96,0.96,0.0
0.24,0.6,0.24
0.0,1.0,2.08
0.12,0.88,0.24
1.84,0.22909090909090907,2.2
0.0,0.64,0.84
0.36,0.0,0.84
2.08,0.0,1.52
1.1600000000000001,0.36,0.6
0.64,2.2,1.28
0.0,1.1600000000000001,0.72
0.0,0.48,0.6
0.0,1.1600000000000001,0.72
0.24,0.24,0.6
2.44,0.0,1.6800000000000002
0.6,0.0,0.48
1.4,0.12,0.0
0.48,2.08,0.12
0.48,0.36,2.08
0.24,0.76,0.36
2.2,0.24,0.64
1.28,0.24,0.0
0.48,2.2,0.12
0.6290909090909091,0.48,1.96
0.24,0.48,1.6800000000000002
0.0,0.36,0.36
0.0,2.3200000000000003,0.6453731343283583
0.36,0.12,0.24
2.3200000000000003,1.84,0.24
0.6,0.12,1.829090909090909
0.48,1.84,0.6
0.48,0.0,1.8000000000000003
0.0,0.24,0.48
0.6,1.96,1.56
0.84,0.24,0.48
2.44,0.0,1.0
0.96,0.0,1.8000000000000003
0.84,0.12,0.48
0.64,2.2,0.36
0.36,0.6,0.24
2.2,0.88,0.0
0.48,0.48,0.24
0.48,0.0,2.08
0.6,0.12,0.0
2.44,1.84,0.0
0.96,0.12,0.12
0.72,1.84,1.84
1.24,0.0,0.24
0.6,0.24,0.6
